MOFname,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Density,Largest_free_sphere,Largest_included_sphere,Largest_included_sphere_along_free_path,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g,Unitcell_volume
qmof-63cb6eb,0,0,0,1.63262,1.17647,1.97925,1.97925,0,0,0,0,0,0,0,0,0,454.718
qmof-274118b,0,0,0,1.53485,1.27911,2.77388,2.77388,0,0,0,0,0,0,0,0,0,1569.72
qmof-0d90510,381.2,981.894,678.898,1.44631,2.89804,5.13634,5.09535,0,0,0,753.553,0.1941,0.134204,0,0,0,3882.3
qmof-307ad32,0,0,0,2.75615,1.12127,1.71174,1.7009,0,0,0,0,0,0,0,0,0,1348.63
qmof-2bf9ae7,0,0,0,1.85046,1.123,2.1985,2.19556,0,0,0,0,0,0,0,0,0,626.61
qmof-1c5a2db,0,0,0,1.65619,0.68701,2.56001,2.56001,0,0,0,0,0,0,0,0,0,363.154
qmof-3a184d1,0,0,0,1.98433,1.71497,3.07361,3.07287,1.76002,18.8387,9.49376,0,0,0,11.2111,0.012,0.00604739,934.258
qmof-71a7346,0,0,0,1.47217,2.77212,3.60976,3.52911,21.8293,290.891,197.593,0,0,0,77.144,0.1028,0.0698288,750.428
qmof-54b8baf,0,0,0,1.56427,1.11718,2.56508,2.53963,0,0,0,0,0,0,0,0,0,1063.03
qmof-97c6429,0,0,0,1.70145,1.03757,2.79112,2.77218,0,0,0,0,0,0,0,0,0,875.831
qmof-6ad2d37,0,0,0,1.4963,1.34361,2.19906,2.19166,0,0,0,0,0,0,0,0,0,890.756
qmof-9911385,0,0,0,2.4092,1.67355,3.12694,3.12694,3.36097,51.3734,21.3238,0,0,0,28.1316,0.043,0.0178482,654.223
qmof-1b1031a,0,0,0,1.98514,1.33049,2.05796,1.82138,0,0,0,0,0,0,0,0,0,769.067
qmof-47c58b4,105.471,679.173,466.757,1.45509,2.96277,4.13286,4.0337,0,0,0,236.512,0.1523,0.104667,0,0,0,1552.94
qmof-7af31f9,0,0,0,2.70708,1.90026,3.35663,3.35663,8.46715,139.715,51.6109,0,0,0,50.1189,0.0827,0.0305496,606.032
qmof-3347f41,60.4508,648.506,408.036,1.58934,3.08636,3.62703,3.61161,0,0,0,202.184,0.2169,0.136472,0,0,0,932.155
qmof-46a34bc,0,0,0,1.95634,1.0699,2.28184,1.77748,0,0,0,0,0,0,0,0,0,589.209
qmof-862da56,0,0,0,1.55312,2.4607,3.94759,3.06232,97.4571,546.048,351.581,0,0,0,244.335,0.1369,0.088145,1784.77
qmof-7a3ac3d,0,0,0,2.45225,0.86411,1.83798,1.83798,0,0,0,0,0,0,0,0,0,1381.74
qmof-fcd5c86,319.474,1433.69,856.694,1.67351,3.94571,4.84506,4.73558,0,0,0,592.514,0.2659,0.158887,0,0,0,2228.33
qmof-f77c0e0,0,0,0,1.47481,1.48107,2.9932,2.84302,0.92095,6.97958,4.73251,0,0,0,0,0,0,1319.49
qmof-1938adc,0,0,0,1.60539,1.13846,2.34562,2.29821,0,0,0,0,0,0,0,0,0,1106.43
qmof-c706859,0,0,0,1.67915,0.77813,2.34649,2.33574,0,0,0,0,0,0,0,0,0,939.626
qmof-23daf81,0,0,0,1.62612,0.97211,1.88165,1.87859,0,0,0,0,0,0,0,0,0,1178.31
qmof-10b52ba,199.295,1187.59,643.501,1.84551,3.60438,4.84376,4.84376,0,0,0,449.409,0.2678,0.145109,0,0,0,1678.15
qmof-87530df,0,0,0,1.90459,1.19321,2.20247,2.20247,0,0,0,0,0,0,0,0,0,1008.09
qmof-ece7ed8,0,0,0,1.97167,0.87032,1.40397,1.40397,0,0,0,0,0,0,0,0,0,369.002
qmof-50395c8,14.7222,332.381,213.002,1.56046,2.91781,3.23927,3.23721,0,0,0,62.4974,0.1411,0.0904221,0,0,0,442.93
qmof-3f10a21,0,0,0,1.54524,1.03879,2.29626,2.12011,0,0,0,0,0,0,0,0,0,991.533
qmof-f7afbf6,209.222,1223.92,935.719,1.308,3.72531,4.85067,4.81314,0,0,0,482.575,0.2823,0.215826,0,0,0,1709.44
qmof-8ef372e,0,0,0,2.34652,0.86026,1.41591,1.40655,0,0,0,0,0,0,0,0,0,517.946
qmof-a37c7c3,0,0,0,1.94135,1.49394,2.67092,2.67092,0,0,0,0,0,0,0,0,0,1298.45
qmof-918c8d1,0,0,0,1.83914,0.94847,2.55568,2.55568,0,0,0,0,0,0,0,0,0,765.33
qmof-4aa2b93,0,0,0,1.64562,1.29924,1.69886,1.63075,0,0,0,0,0,0,0,0,0,840.467
qmof-cc5ae49,99.8428,248.847,145.936,1.70518,2.97748,5.22643,5.22643,2.98049,7.42853,4.35646,228.697,0.057,0.0334276,13.2403,0.0033,0.00193528,4012.22
qmof-2023658,0,0,0,1.6063,1.25107,2.31325,2.31325,0,0,0,0,0,0,0,0,0,1309.28
qmof-3445b85,0,0,0,1.68487,1.23907,3.98,3.97151,174.6,372.194,220.903,0,0,0,370.597,0.079,0.0468878,4691.11
qmof-f730251,0,0,0,1.61838,1.80202,4.01542,4.01542,49.7307,626.749,387.27,0,0,0,128.225,0.1616,0.099853,793.472
qmof-5c10cb7,255.549,1717.68,1667.91,1.02984,3.40339,4.52733,4.52733,0,0,0,543.628,0.3654,0.354812,0,0,0,1487.76
qmof-acbcce6,0,0,0,2.77086,0.80168,2.45711,2.43479,0,0,0,0,0,0,0,0,0,586.06
qmof-d14d086,0,0,0,2.60407,0.78682,1.87217,1.23683,0,0,0,0,0,0,0,0,0,763.755
qmof-885c941,51.1464,682.455,367.94,1.8548,2.88338,3.77607,3.77607,0,0,0,133.327,0.1779,0.0959135,0,0,0,749.448
qmof-c441e76,0,0,0,1.71787,1.43838,2.37046,2.09179,0,0,0,0,0,0,0,0,0,1501.62
qmof-33ecd67,0,0,0,1.76968,1.03516,1.87878,1.84642,0,0,0,0,0,0,0,0,0,639.245
qmof-9ffadde,0,0,0,1.98447,0.86824,1.67397,1.66314,0,0,0,0,0,0,0,0,0,1123.43
qmof-0d69406,0,0,0,3.4917,0.964,2.07776,2.07425,0,0,0,0,0,0,0,0,0,833.502
qmof-e29dfd2,0,0,0,1.70362,0.82824,2.10985,2.07616,0,0,0,0,0,0,0,0,0,1400.77
qmof-eb6363e,0,0,0,1.29984,1.40988,4.67023,4.65586,81.1949,659.436,507.32,0,0,0,229.879,0.1867,0.143633,1231.28
qmof-d933760,0,0,0,1.42145,2.35433,3.46861,3.44277,35.7425,221.185,155.605,0,0,0,107.784,0.0667,0.0469239,1615.95
qmof-5b523bb,0,0,0,1.93161,0.95913,2.35352,2.35308,0,0,0,0,0,0,0,0,0,1461.39
qmof-b4f2a15,0,0,0,1.88805,1.0026,2.08378,1.97922,0,0,0,0,0,0,0,0,0,669.052
qmof-5ec17b1,0,0,0,2.62004,1.31993,2.407,2.38647,0,0,0,0,0,0,0,0,0,940.687
qmof-04aceb4,0,0,0,1.78688,1.04714,1.53137,1.46812,0,0,0,0,0,0,0,0,0,663.292
qmof-938679b,0,0,0,1.56999,1.44836,2.26719,1.85755,0,0,0,0,0,0,0,0,0,862.793
qmof-b87071b,143.038,1315.46,1045.29,1.25847,3.57129,5.19096,5.19096,0,0,0,314.247,0.289,0.229644,0,0,0,1087.36
qmof-1e272e4,0,0,0,1.44136,2.67005,3.79955,3.79955,48.2077,209.637,145.444,0,0,0,127.166,0.0553,0.0383665,2299.57
qmof-6226ce6,0,0,0,2.99664,0.61006,1.88089,1.80532,0,0,0,0,0,0,0,0,0,520.843
qmof-e954d84,0,0,0,2.12438,0.82926,1.85485,1.84505,0,0,0,0,0,0,0,0,0,810.773
qmof-96c06cd,0,0,0,1.56612,0.95204,1.88108,1.58417,0,0,0,0,0,0,0,0,0,1160.9
qmof-4c7d737,0,0,0,2.13269,0.8515,1.96503,1.96503,0,0,0,0,0,0,0,0,0,658.129
qmof-9324158,0,0,0,1.7734,1.38262,2.64484,2.63774,0,0,0,0,0,0,0,0,0,924.659
qmof-6d4cad7,0,0,0,2.70475,0.63177,1.93032,1.93032,0,0,0,0,0,0,0,0,0,1672.39
qmof-50f1fb4,41.4769,478.447,275.038,1.73957,2.94727,3.34573,3.24705,0,0,0,168.267,0.1941,0.111579,0,0,0,866.906
qmof-855e3e5,0,0,0,2.51551,1.17529,3.16984,2.91583,7.51167,70.6396,28.0816,0,0,0,26.9035,0.0253,0.0100576,1063.38
qmof-905ce17,0,0,0,2.3567,0.87067,2.129,2.12284,0,0,0,0,0,0,0,0,0,566.495
qmof-2b9b71a,0,0,0,1.79454,0.99315,2.38999,1.652,0,0,0,0,0,0,0,0,0,418.266
qmof-5598b04,0,0,0,2.3876,1.0547,1.59709,1.46611,0,0,0,0,0,0,0,0,0,812.324
qmof-e6a1be3,228.593,905.075,426.363,2.12278,3.06211,5.33481,5.33481,0.80648,3.19312,1.50422,514.985,0.2039,0.0960533,0,0,0,2525.68
qmof-7624dc0,0,0,0,2.87551,0.84556,1.67743,1.67743,0,0,0,0,0,0,0,0,0,839.319
qmof-b71f6b7,0,0,0,2.67781,0.8998,2.53005,2.53005,0,0,0,0,0,0,0,0,0,502.786
qmof-415187e,0,0,0,1.49789,2.53817,3.53173,3.52353,64.4117,257.146,171.671,0,0,0,152.296,0.0608,0.0405903,2504.87
qmof-4acb06b,0,0,0,3.2728,0.68364,1.84948,1.84948,0,0,0,0,0,0,0,0,0,852.314
qmof-f0c0ed2,0,0,0,2.33422,0.97518,2.26877,2.26877,0,0,0,0,0,0,0,0,0,1016.49
qmof-fbc4c36,0,0,0,2.03703,1.42117,2.24198,2.16053,0,0,0,0,0,0,0,0,0,677.739
qmof-508fff5,0,0,0,2.15548,0.35138,1.21675,0.85848,0,0,0,0,0,0,0,0,0,956.345
qmof-21f8c6f,0,0,0,2.04262,2.26258,2.49904,2.45232,0,0,0,0,0,0,0,0,0,961.483
qmof-d93d3b5,0,0,0,1.58263,1.38927,3.5997,3.5997,4.9714,49.1686,31.0676,0,0,0,30.4339,0.0301,0.019019,1011.09
qmof-1e1a97a,0,0,0,1.39053,2.35764,4.33771,4.32442,173.634,1171.63,842.582,0,0,0,414.806,0.2799,0.20129,1481.98
qmof-f2b7fe9,0,0,0,2.85089,0.95537,2.02676,2.02676,0,0,0,0,0,0,0,0,0,330.325
qmof-736e605,0,0,0,1.17297,1.56752,4.00979,4.00979,39.6827,352.192,300.257,0,0,0,110.645,0.0982,0.0837193,1126.73
qmof-221d349,0,0,0,1.51448,0.98126,4.59894,4.59894,71.3398,598.29,395.048,0,0,0,170.632,0.1431,0.0944881,1192.39
qmof-6ab4305,0,0,0,1.53545,2.00943,2.23252,2.23241,0,0,0,0,0,0,0,0,0,916.667
qmof-2b45577,0,0,0,1.70371,1.42478,2.79324,2.79324,0,0,0,0,0,0,0,0,0,510.631
qmof-f232c79,0,0,0,2.91998,1.05295,2.31592,2.31554,0,0,0,0,0,0,0,0,0,870.37
qmof-0eef54d,0,0,0,1.66089,1.53186,3.18535,3.18535,3.41994,55.575,33.461,0,0,0,27.2611,0.0443,0.0266725,615.375
qmof-09bb09e,263.225,997.894,667.399,1.4952,3.14991,5.01647,5.01623,0,0,0,599.838,0.2274,0.152087,0,0,0,2637.81
qmof-89941ae,0,0,0,3.15546,1.07386,2.10386,1.87948,0,0,0,0,0,0,0,0,0,971.067
qmof-9dc5e14,0,0,0,1.29036,1.93953,4.90479,4.90241,301.158,941.813,729.883,0,0,0,641.767,0.2007,0.155538,3197.64
qmof-8cfc29d,0,0,0,2.25157,1.17172,2.0632,2.02632,0,0,0,0,0,0,0,0,0,442.873
qmof-c41b63a,0,0,0,2.09701,1.17291,2.5094,2.5094,0,0,0,0,0,0,0,0,0,1516.77
qmof-c8edfaa,0,0,0,2.17811,1.02912,1.93739,1.87054,0,0,0,0,0,0,0,0,0,816.512
qmof-f8b10e5,0,0,0,2.36824,1.21582,2.61762,2.28412,0,0,0,0,0,0,0,0,0,1143.69
qmof-c8b91c4,0,0,0,1.57439,0.72445,1.56771,1.56771,0,0,0,0,0,0,0,0,0,721.758
qmof-a0ac3c3,0,0,0,2.07902,0.59952,2.08904,1.97648,0,0,0,0,0,0,0,0,0,1188.64
qmof-7b78274,0,0,0,2.23664,1.61969,2.598,2.598,0,0,0,0,0,0,0,0,0,1196.96
qmof-d6d1915,0,0,0,1.72522,0.88673,1.9518,1.9398,0,0,0,0,0,0,0,0,0,1026.44
qmof-c70fd52,0,0,0,2.62401,1.24845,2.51916,2.51916,0,0,0,0,0,0,0,0,0,1088.24
qmof-82ec815,596.365,2314.97,2558.16,0.904936,4.89226,6.29735,6.25878,0,0,0,1237.31,0.4803,0.530756,0,0,0,2576.13
qmof-3524ba0,0,0,0,2.07818,1.03422,2.78082,2.22106,0,0,0,0,0,0,0,0,0,914.946
qmof-e4d678d,0,0,0,1.2589,2.27869,4.19227,4.18249,84.8275,802.27,637.279,0,0,0,218.341,0.2065,0.164032,1057.34
qmof-c7376df,0,0,0,1.57268,2.5155,4.97334,4.97167,69.4317,277.537,176.474,0,0,0,162.361,0.0649,0.041267,2501.71
qmof-93ddfc6,151.847,893.744,613.153,1.45762,3.09003,3.91285,3.91285,0,0,0,383.975,0.226,0.155047,0,0,0,1699
qmof-3e1c72a,0,0,0,1.61145,0.97945,3.11934,3.0472,10.3646,75.9263,47.1169,0,0,0,34.127,0.025,0.015514,1365.08
qmof-f5a08c4,0,0,0,1.81431,0.99617,1.79542,1.5472,0,0,0,0,0,0,0,0,0,581.801
qmof-05305ab,154.182,700.9,455.366,1.5392,3.30697,5.33067,5.33044,0,0,0,350.863,0.1595,0.103625,0,0,0,2199.77
qmof-b48a0a9,0,0,0,2.21079,1.10566,2.94845,2.94845,0.340089,6.34086,2.86814,0,0,0,0,0,0,536.345
qmof-1d20a91,121.024,1275.35,725.609,1.75762,3.96441,4.71585,4.70944,0,0,0,265.612,0.2799,0.159249,0,0,0,948.952
qmof-74ea819,0,0,0,1.61472,1.21385,2.81727,2.81727,0,0,0,0,0,0,0,0,0,1602.96
qmof-7847c76,0,0,0,1.63769,1.08185,2.99046,2.22835,0.911579,9.10354,5.55877,0,0,0,0,0,0,1001.35
qmof-a38a59d,0,0,0,2.99092,0.7862,1.43933,1.42811,0,0,0,0,0,0,0,0,0,514.23
qmof-d16a680,0,0,0,2.25725,0.96975,1.81368,1.75957,0,0,0,0,0,0,0,0,0,1025.53
qmof-d4b0dbe,0,0,0,1.95063,1.17192,2.4229,2.42207,0,0,0,0,0,0,0,0,0,1516.44
qmof-ff5ca2c,0,0,0,1.72935,0.92597,1.96499,1.96499,0,0,0,0,0,0,0,0,0,431.04
qmof-14eb177,0,0,0,1.41126,1.89577,3.25784,3.25671,7.39062,68.0747,48.2367,0,0,0,34.3069,0.0316,0.0223913,1085.66
qmof-d314647,0,0,0,1.50279,1.25685,2.14047,2.05137,0,0,0,0,0,0,0,0,0,820.474
qmof-0275f1b,342.375,1182.81,834.313,1.4177,2.89808,4.98436,4.9321,0,0,0,686.017,0.237,0.167172,0,0,0,2894.59
qmof-e789f6e,34.1285,242.163,166.308,1.45611,2.92112,4.13684,4.13684,0,0,0,90.4781,0.0642,0.04409,0,0,0,1409.32
qmof-ecbc8f8,0,0,0,1.52693,1.09091,1.88943,1.76642,0,0,0,0,0,0,0,0,0,1036.05
qmof-41f5a4b,325.715,1417.48,1185.33,1.19586,4.16499,5.56581,5.5647,0,0,0,685.215,0.2982,0.249361,0,0,0,2297.84
qmof-ebfa7c9,0,0,0,1.25422,2.49106,5.71462,5.71462,332.004,910.577,726.009,0,0,0,678.536,0.1861,0.148379,3646.08
qmof-1825bea,0,0,0,1.83771,1.17445,2.37655,2.37655,0,0,0,0,0,0,0,0,0,1281.77
qmof-4455e80,0,0,0,1.6319,1.91207,2.68893,2.68893,0,0,0,0,0,0,0,0,0,1602.31
qmof-561ba01,0,0,0,2.4154,0.7888,2.1688,2.1688,0,0,0,0,0,0,0,0,0,588.062
qmof-a3c4a06,0,0,0,2.40702,2.5381,3.74547,3.74547,79.6971,212.784,88.4011,0,0,0,208.622,0.0557,0.0231406,3745.46
qmof-969433e,0,0,0,1.9074,0.94613,4.29975,4.28757,42.2145,370.073,194.02,0,0,0,138.254,0.1212,0.063542,1140.71
qmof-3ad0212,0,0,0,2.88244,0.89887,1.72618,1.53428,0,0,0,0,0,0,0,0,0,1090.89
qmof-71cc7da,0,0,0,2.52113,0.8623,1.3993,1.39285,0,0,0,0,0,0,0,0,0,616.397
qmof-dc3b39d,0,0,0,1.48936,1.56303,2.64453,2.40934,0,0,0,0,0,0,0,0,0,805.561
qmof-b41d70b,280.246,670.723,556.483,1.20529,2.88322,5.32271,5.31523,0,0,0,589.137,0.141,0.116984,0,0,0,4178.27
qmof-dc83d41,0,0,0,1.80912,1.08633,2.34322,2.34322,0,0,0,0,0,0,0,0,0,1029.47
qmof-ae70be0,0,0,0,1.80477,1.31137,2.09795,1.78873,0,0,0,0,0,0,0,0,0,643.318
qmof-54114ac,0,0,0,3.03618,1.06911,1.6647,1.57195,0,0,0,0,0,0,0,0,0,415.237
qmof-1b6e4f0,0,0,0,1.93721,0.44754,1.37717,1.37717,0,0,0,0,0,0,0,0,0,1379.76
qmof-b34b96a,0,0,0,2.31482,0.91779,1.67844,1.44768,0,0,0,0,0,0,0,0,0,1144.56
qmof-f986f08,0,0,0,2.46159,0.74465,1.46171,1.30574,0,0,0,0,0,0,0,0,0,479.486
qmof-4097e0e,0,0,0,1.54108,1.82799,2.82013,2.82013,0.0155826,0.28167,0.182775,0,0,0,0,0,0,553.22
qmof-c933b3d,153.334,534.908,304.696,1.75555,3.41771,5.28943,5.28943,0,0,0,336.247,0.1173,0.0668168,0,0,0,2866.56
qmof-254f0bb,0,0,0,2.49143,0.76408,1.82926,1.78757,0,0,0,0,0,0,0,0,0,725.13
qmof-7c3cbad,0,0,0,1.9725,0.86985,1.96794,1.69908,0,0,0,0,0,0,0,0,0,887.685
qmof-9c0d1a4,0,0,0,1.55095,2.55352,3.46273,3.46273,73.4325,504.02,324.975,0,0,0,187.945,0.129,0.0831749,1456.94
qmof-e72c3e9,0,0,0,1.25391,2.29973,4.17959,4.173,106.818,1044.43,832.934,0,0,0,271.948,0.2659,0.212056,1022.75
qmof-6111c69,0,0,0,1.71563,1.22071,1.78926,1.72814,0,0,0,0,0,0,0,0,0,851.248
qmof-c988bec,0,0,0,1.79303,1.0305,1.74992,1.74992,0,0,0,0,0,0,0,0,0,425.332
qmof-2408633,0,0,0,1.64366,0.88637,2.25564,2.24314,0,0,0,0,0,0,0,0,0,1023.07
qmof-9c01853,0,0,0,1.68337,1.76914,2.39412,2.3691,0,0,0,0,0,0,0,0,0,1214.31
qmof-fade50b,0,0,0,1.40655,2.45261,4.12022,4.12002,313.282,977.318,694.834,0,0,0,600.396,0.1873,0.133163,3205.53
qmof-cbfd0bc,0,0,0,1.57918,1.00664,1.62305,1.26775,0,0,0,0,0,0,0,0,0,787.635
qmof-ce367cc,0,0,0,1.56611,1.68621,2.39033,2.34986,0,0,0,0,0,0,0,0,0,779.7
qmof-d33b04e,0,0,0,2.06524,0.88385,2.3606,2.35658,0,0,0,0,0,0,0,0,0,1225.81
qmof-b3fea0d,0,0,0,1.52859,1.3825,2.12743,1.99167,0,0,0,0,0,0,0,0,0,1555.26
qmof-23a9d66,0,0,0,1.61215,1.04487,2.02476,2.02476,0,0,0,0,0,0,0,0,0,702.934
qmof-6f4c103,197.265,1464.55,1075.84,1.36131,7.02755,7.96418,7.96418,0,0,0,489.072,0.3631,0.266729,0,0,0,1346.93
qmof-7c5f404,0,0,0,1.69902,1.10271,2.04493,2.0446,0,0,0,0,0,0,0,0,0,1191.43
qmof-1658787,0,0,0,1.89364,1.25868,1.95423,1.9426,0,0,0,0,0,0,0,0,0,1280.69
qmof-90ba237,0,0,0,1.79851,1.37364,2.26623,2.26623,0,0,0,0,0,0,0,0,0,823.715
qmof-d28d5ec,0,0,0,1.75542,1.07691,5.06762,4.92339,30.3477,526.773,300.084,0,0,0,93.8477,0.1629,0.0927983,576.106
qmof-2c0ed21,0,0,0,1.65945,1.28602,2.26418,2.26418,0,0,0,0,0,0,0,0,0,1248.22
qmof-ff169e1,0,0,0,1.44138,1.85126,4.12141,4.12141,64.5182,549.687,381.361,0,0,0,178.289,0.1519,0.105385,1173.73
qmof-df89737,0,0,0,1.66081,1.15963,3.60748,3.59788,120.332,276.093,166.239,0,0,0,185.668,0.0426,0.0256501,4358.4
qmof-a9b0ac2,1385.02,2455.8,2761.66,0.88925,9.268,10.06944,10.06944,0,0,0,3427.86,0.6078,0.683497,0,0,0,5639.78
qmof-4508efb,0,0,0,2.1902,1.12389,1.67363,1.66197,0,0,0,0,0,0,0,0,0,799.508
qmof-0d451ab,0,0,0,1.57783,1.74075,2.93738,2.93486,1.38752,9.92987,6.29339,0,0,0,0,0,0,1397.32
qmof-f38c9a1,336.45,714.073,519.602,1.37427,3.79331,5.68399,5.64503,4.45931,9.46433,6.88682,693.563,0.1472,0.107112,0,0,0,4711.7
qmof-49f5ae1,0,0,0,2.55757,0.88625,2.06248,1.9737,0,0,0,0,0,0,0,0,0,499.696
qmof-965b897,0,0,0,2.69532,0.89714,2.37583,2.3713,0,0,0,0,0,0,0,0,0,491.855
qmof-8b97fc8,0,0,0,1.50099,2.433,3.0236,3.01858,2.09661,16.3223,10.8743,0,0,0,12.7166,0.0099,0.00659565,1284.51
qmof-f7c5619,0,0,0,2.44556,1.21113,3.23699,3.0129,8.77406,81.2763,33.2342,0,0,0,29.0395,0.0269,0.0109995,1079.53
qmof-e21bd0e,207.247,1981.06,1678.04,1.18058,3.7923,4.63763,4.63763,0,0,0,385.608,0.3686,0.312219,0,0,0,1046.14
qmof-3015833,0,0,0,1.49024,1.63677,3.33496,3.33496,12.7367,140.323,94.1614,0,0,0,47.562,0.0524,0.0351622,907.671
qmof-f7c5ef4,0,0,0,2.10492,0.97963,2.35666,2.35666,0,0,0,0,0,0,0,0,0,818.16
qmof-49a800c,0,0,0,1.51091,2.75996,4.01876,4.01851,57.8784,479.23,317.179,0,0,0,153.987,0.1275,0.084386,1207.74
qmof-0e45b30,0,0,0,2.13508,1.08999,2.2688,2.25777,0,0,0,0,0,0,0,0,0,937.842
qmof-10f2b04,0,0,0,1.95839,1.31112,2.33951,2.30701,0,0,0,0,0,0,0,0,0,409.829
qmof-182e007,1312.28,2531.65,2568.41,0.985691,4.5759,6.73313,6.72132,0,0,0,2729.63,0.5266,0.534245,0,0,0,5183.5
qmof-9f0b3fe,0,0,0,2.09274,1.34871,2.26966,2.26639,0,0,0,0,0,0,0,0,0,399.268
qmof-ca43af8,0,0,0,2.1239,0.87077,1.71219,1.71219,0,0,0,0,0,0,0,0,0,1118.22
qmof-b10bfd5,259.378,1737.98,1669.53,1.041,3.39076,4.59439,4.59439,0,0,0,536.672,0.3596,0.345437,0,0,0,1492.41
qmof-6400cd1,141.152,723.273,513.456,1.40864,3.01283,4.18345,4.1795,0,0,0,291.76,0.1495,0.106131,0,0,0,1951.57
qmof-430704b,0,0,0,1.18715,1.37709,6.93175,6.93175,187.928,1192.89,1004.84,0,0,0,453.083,0.2876,0.242261,1575.39
qmof-658c0fd,0,0,0,2.85667,1.91259,2.70816,2.64393,0,0,0,0,0,0,0,0,0,710.274
qmof-48637bb,0,0,0,1.55295,1.23101,2.56999,2.55862,0,0,0,0,0,0,0,0,0,936.114
qmof-2aa0084,0,0,0,2.18419,1.03692,1.66019,1.26486,0,0,0,0,0,0,0,0,0,748.202
qmof-46faaa0,0,0,0,1.88733,1.24809,2.1752,2.17178,0,0,0,0,0,0,0,0,0,518.613
qmof-2b3bd76,0,0,0,1.70751,0.91857,1.90464,1.48763,0,0,0,0,0,0,0,0,0,556.771
qmof-9ed3ec7,504.93,2431.4,2179.62,1.11551,6.42168,7.22961,7.22927,0,0,0,1073.24,0.5168,0.463284,0,0,0,2076.7
qmof-f5b47bc,0,0,0,1.57014,1.82245,3.21238,2.9415,12.9849,108.496,69.0994,0,0,0,57.5664,0.0481,0.0306342,1196.81
qmof-a3a2ba3,0,0,0,2.11448,1.43868,2.40301,2.40075,0,0,0,0,0,0,0,0,0,1411.88
qmof-2f7f5e3,0,0,0,2.50972,1.05994,2.3556,2.32287,0,0,0,0,0,0,0,0,0,988.874
qmof-01429b0,0,0,0,2.14856,1.70912,2.94031,2.93987,1.11728,10.1359,4.71752,0,0,0,0,0,0,1102.31
qmof-e534471,0,0,0,2.23042,1.62251,3.10235,3.00837,2.74306,36.5954,16.4074,0,0,0,16.4154,0.0219,0.00981878,749.563
qmof-4cfda29,0,0,0,1.73844,1.0015,1.92939,1.8281,0,0,0,0,0,0,0,0,0,1012.09
qmof-335b492,0,0,0,1.76399,0.84006,1.36308,1.35084,0,0,0,0,0,0,0,0,0,844.281
qmof-b0214d8,0,0,0,1.56354,1.09681,2.44152,2.44152,0,0,0,0,0,0,0,0,0,1015.69
qmof-0c68249,0,0,0,1.69364,1.60798,2.44736,2.08406,0,0,0,0,0,0,0,0,0,955.445
qmof-1e90576,0,0,0,1.54395,1.22684,2.05004,1.86957,0,0,0,0,0,0,0,0,0,1317.85
qmof-6d992df,0,0,0,1.73848,1.14782,2.66144,2.66144,0,0,0,0,0,0,0,0,0,1050.1
qmof-cf5df73,0,0,0,2.52388,0.80586,1.8498,1.8498,0,0,0,0,0,0,0,0,0,515
qmof-708b5df,0,0,0,1.82433,0.80395,1.72703,1.69924,0,0,0,0,0,0,0,0,0,610.941
qmof-aa83aa8,0,0,0,1.89932,0.94479,2.35244,2.35244,0,0,0,0,0,0,0,0,0,844.08
qmof-1b6c849,0,0,0,2.26441,2.7415,3.34718,3.33284,8.81302,263.7,116.454,0,0,0,55.779,0.1669,0.0737057,334.206
qmof-05d5336,0,0,0,1.50595,1.01614,1.94009,1.94009,0,0,0,0,0,0,0,0,0,1089.06
qmof-b9c5c8c,0,0,0,2.60827,0.73146,1.73116,1.47591,0,0,0,0,0,0,0,0,0,878.661
qmof-88ef49a,0,0,0,1.99696,0.9135,1.9203,1.91193,0,0,0,0,0,0,0,0,0,1076.54
qmof-4126c5a,0,0,0,1.79454,0.98708,1.746,1.746,0,0,0,0,0,0,0,0,0,726.645
qmof-b602563,0,0,0,2.63521,1.61964,2.57638,2.55296,0,0,0,0,0,0,0,0,0,997.156
qmof-3cf8e56,0,0,0,1.54669,1.43362,4.42018,4.23106,166.07,397.257,256.843,0,0,0,348.646,0.0834,0.0539215,4180.41
qmof-eea62f6,0,0,0,1.68416,0.77511,1.62311,1.62311,0,0,0,0,0,0,0,0,0,464.714
qmof-0444ac2,0,0,0,1.71791,0.83511,1.56821,1.56821,0,0,0,0,0,0,0,0,0,771.893
qmof-d06df45,0,0,0,1.85486,0.81534,1.49658,1.3979,0,0,0,0,0,0,0,0,0,661.846
qmof-27aac60,0,0,0,1.39129,1.04693,4.22329,4.22061,61.9232,449.252,322.904,0,0,0,149.69,0.1086,0.0780572,1378.36
qmof-7143528,0,0,0,2.10109,1.17871,1.59855,1.59855,0,0,0,0,0,0,0,0,0,855.67
qmof-0564294,663.224,1768.84,1757.06,1.0067,3.34443,7.86436,7.76225,24.7799,66.089,65.6489,1573.28,0.4196,0.416805,66.7407,0.0178,0.0176814,3749.48
qmof-fac48cb,0,0,0,2.12843,0.77266,2.60614,2.60614,0,0,0,0,0,0,0,0,0,659.438
qmof-8312100,0,0,0,2.00083,0.85071,1.64351,1.625,0,0,0,0,0,0,0,0,0,661.706
qmof-5cfb629,0,0,0,1.59639,0.90342,1.84352,1.84352,0,0,0,0,0,0,0,0,0,466.545
